Portfolio Identifier,EPIC,No of Shares,Buy/Sell,Transaction Date
103,BAB,318,Buy,2015-Q1
103,BA.,1969,Buy,2015-Q1
103,BARC,10341,Buy,2015-Q1
103,BDEV,621,Buy,2015-Q1
103,BG,22100,Buy,2015-Q1
103,BLT,1274,Buy,2015-Q1
103,BP,11333,Buy,2015-Q1
103,BATS,1189,Buy,2015-Q1
103,BLND,629,Buy,2015-Q1
103,BT.A,5217,Buy,2015-Q1
103,BNZL,210,Buy,2015-Q1
103,BRBY,277,Buy,2015-Q1
103,CPI,413,Buy,2015-Q1
103,CCL,112,Buy,2015-Q1
103,CNA,3096,Buy,2015-Q1
103,CCH,119,Buy,2015-Q1
103,CPG,1037,Buy,2015-Q1
103,CRH,501,Buy,2015-Q1
103,VOD,16957,Buy,2015-Q1
103,WEIR,134,Buy,2015-Q1
103,WTB,113,Buy,2015-Q1
103,WOS,163,Buy,2015-Q1
103,WPP,811,Buy,2015-Q1
104,III,593,Buy,2015-Q1
104,ADN,929,Buy,2015-Q1
104,ADM,124,Buy,2015-Q1
104,AAL,903,Buy,2015-Q1
104,ANTO,226,Buy,2015-Q1
104,ARM,881,Buy,2015-Q1
104,AHT,316,Buy,2015-Q1
104,ABF,216,Buy,2015-Q1
104,AZN,788,Buy,2015-Q1
104,AV.,2526,Buy,2015-Q1
104,BAB,318,Buy,2015-Q1
104,BA.,1969,Buy,2015-Q1
104,BARC,10341,Buy,2015-Q1
104,BDEV,621,Buy,2015-Q1
104,BG,22100,Buy,2015-Q1
104,BLT,1274,Buy,2015-Q1
104,BP,11333,Buy,2015-Q1
104,BATS,1189,Buy,2015-Q1
104,BLND,629,Buy,2015-Q1
104,BT.A,5217,Buy,2015-Q1
104,BNZL,210,Buy,2015-Q1
104,BRBY,277,Buy,2015-Q1
104,CPI,413,Buy,2015-Q1
104,CCL,112,Buy,2015-Q1
104,CNA,3096,Buy,2015-Q1
104,CCH,119,Buy,2015-Q1
104,CPG,1037,Buy,2015-Q1
104,CRH,501,Buy,2015-Q1
104,VOD,16957,Buy,2015-Q1
104,WEIR,134,Buy,2015-Q1
104,WTB,113,Buy,2015-Q1
104,WOS,163,Buy,2015-Q1
104,WPP,811,Buy,2015-Q1
105,III,593,Buy,2015-Q1
105,ADN,929,Buy,2015-Q1
105,ADM,124,Buy,2015-Q1
105,AAL,903,Buy,2015-Q1
105,ANTO,226,Buy,2015-Q1
105,ARM,881,Buy,2015-Q1
105,AHT,316,Buy,2015-Q1
105,ABF,216,Buy,2015-Q1
105,AZN,788,Buy,2015-Q1
105,AV.,2526,Buy,2015-Q1
105,BAB,318,Buy,2015-Q1
105,BA.,1969,Buy,2015-Q1
105,BARC,10341,Buy,2015-Q1
105,BDEV,621,Buy,2015-Q1
105,BG,22100,Buy,2015-Q1
105,BLT,1274,Buy,2015-Q1
105,BP,11333,Buy,2015-Q1
105,BATS,1189,Buy,2015-Q1
105,BLND,629,Buy,2015-Q1
105,BT.A,5217,Buy,2015-Q1
105,BNZL,210,Buy,2015-Q1
105,BRBY,277,Buy,2015-Q1
105,CPI,413,Buy,2015-Q1
105,CCL,112,Buy,2015-Q1
105,CNA,3096,Buy,2015-Q1
105,CCH,119,Buy,2015-Q1
105,CPG,1037,Buy,2015-Q1
105,CRH,501,Buy,2015-Q1
105,VOD,16957,Buy,2015-Q1
105,WEIR,134,Buy,2015-Q1
105,WTB,113,Buy,2015-Q1
105,WOS,163,Buy,2015-Q1
105,WPP,811,Buy,2015-Q1
106,III,593,Buy,2015-Q1
106,ADN,929,Buy,2015-Q1
106,ADM,124,Buy,2015-Q1
106,AAL,903,Buy,2015-Q1
106,ANTO,226,Buy,2015-Q1
106,ARM,881,Buy,2015-Q1
106,AHT,316,Buy,2015-Q1
106,ABF,216,Buy,2015-Q1
106,AZN,788,Buy,2015-Q1
106,AV.,2526,Buy,2015-Q1
106,BAB,318,Buy,2015-Q1
106,BA.,1969,Buy,2015-Q1
106,BARC,10341,Buy,2015-Q1
106,BDEV,621,Buy,2015-Q1
106,BG,22100,Buy,2015-Q1
106,BLT,1274,Buy,2015-Q1
106,BP,11333,Buy,2015-Q1
106,BATS,1189,Buy,2015-Q1
106,BLND,629,Buy,2015-Q1
106,BT.A,5217,Buy,2015-Q1
106,BNZL,210,Buy,2015-Q1
106,BRBY,277,Buy,2015-Q1
106,CPI,413,Buy,2015-Q1
106,CCL,112,Buy,2015-Q1
106,CNA,3096,Buy,2015-Q1
106,CCH,119,Buy,2015-Q1
106,CPG,1037,Buy,2015-Q1
106,CRH,501,Buy,2015-Q1
106,VOD,16957,Buy,2015-Q1
106,WEIR,134,Buy,2015-Q1
106,WTB,113,Buy,2015-Q1
106,WOS,163,Buy,2015-Q1
106,WPP,811,Buy,2015-Q1
107,III,593,Buy,2015-Q1
107,ADN,929,Buy,2015-Q1
107,ADM,124,Buy,2015-Q1
107,AAL,903,Buy,2015-Q1
107,ANTO,226,Buy,2015-Q1
107,ARM,881,Buy,2015-Q1
107,AHT,316,Buy,2015-Q1
107,ABF,216,Buy,2015-Q1
107,AZN,788,Buy,2015-Q1
107,AV.,2526,Buy,2015-Q1
107,BAB,318,Buy,2015-Q1
107,BA.,1969,Buy,2015-Q1
107,BARC,10341,Buy,2015-Q1
107,BDEV,621,Buy,2015-Q1
107,BG,22100,Buy,2015-Q1
107,BLT,1274,Buy,2015-Q1
107,BP,11333,Buy,2015-Q1
107,BATS,1189,Buy,2015-Q1
107,BLND,629,Buy,2015-Q1
107,BT.A,5217,Buy,2015-Q1
107,BNZL,210,Buy,2015-Q1
107,BRBY,277,Buy,2015-Q1
107,CPI,413,Buy,2015-Q1
107,CCL,112,Buy,2015-Q1
107,CNA,3096,Buy,2015-Q1
107,CCH,119,Buy,2015-Q1
107,CPG,1037,Buy,2015-Q1
107,CRH,501,Buy,2015-Q1
107,VOD,16957,Buy,2015-Q1
107,WEIR,134,Buy,2015-Q1
107,WTB,113,Buy,2015-Q1
107,WOS,163,Buy,2015-Q1
107,WPP,811,Buy,2015-Q1
108,III,593,Buy,2015-Q1
108,ADN,929,Buy,2015-Q1
108,ADM,124,Buy,2015-Q1
108,AAL,903,Buy,2015-Q1
108,ANTO,226,Buy,2015-Q1
108,ARM,881,Buy,2015-Q1
108,AHT,316,Buy,2015-Q1
108,ABF,216,Buy,2015-Q1
108,AZN,788,Buy,2015-Q1
108,AV.,2526,Buy,2015-Q1
108,BAB,318,Buy,2015-Q1
108,BA.,1969,Buy,2015-Q1
108,BARC,10341,Buy,2015-Q1
108,BDEV,621,Buy,2015-Q1
108,BG,22100,Buy,2015-Q1
108,BLT,1274,Buy,2015-Q1
108,BP,11333,Buy,2015-Q1
108,BATS,1189,Buy,2015-Q1
108,BLND,629,Buy,2015-Q1
108,BT.A,5217,Buy,2015-Q1
108,BNZL,210,Buy,2015-Q1
108,BRBY,277,Buy,2015-Q1
108,CPI,413,Buy,2015-Q1
108,CCL,112,Buy,2015-Q1
108,CNA,3096,Buy,2015-Q1
108,CCH,119,Buy,2015-Q1
108,CPG,1037,Buy,2015-Q1
108,CRH,501,Buy,2015-Q1
108,VOD,16957,Buy,2015-Q1
108,WEIR,134,Buy,2015-Q1
108,WTB,113,Buy,2015-Q1
108,WOS,163,Buy,2015-Q1
108,WPP,811,Buy,2015-Q1
109,III,593,Buy,2015-Q1
109,ADN,929,Buy,2015-Q1
109,ADM,124,Buy,2015-Q1
109,AAL,903,Buy,2015-Q1
109,ANTO,226,Buy,2015-Q1
109,ARM,881,Buy,2015-Q1
109,AHT,316,Buy,2015-Q1
109,ABF,216,Buy,2015-Q1
109,AZN,788,Buy,2015-Q1
109,AV.,2526,Buy,2015-Q1
109,BAB,318,Buy,2015-Q1
109,BA.,1969,Buy,2015-Q1
109,BARC,10341,Buy,2015-Q1
109,BDEV,621,Buy,2015-Q1
109,BG,22100,Buy,2015-Q1
109,BLT,1274,Buy,2015-Q1
109,BP,11333,Buy,2015-Q1
109,BATS,1189,Buy,2015-Q1
109,BLND,629,Buy,2015-Q1
109,BT.A,5217,Buy,2015-Q1
109,BNZL,210,Buy,2015-Q1
109,BRBY,277,Buy,2015-Q1
109,CPI,413,Buy,2015-Q1
109,CCL,112,Buy,2015-Q1
109,CNA,3096,Buy,2015-Q1
109,CCH,119,Buy,2015-Q1
109,CPG,1037,Buy,2015-Q1
109,CRH,501,Buy,2015-Q1
109,VOD,16957,Buy,2015-Q1
109,WEIR,134,Buy,2015-Q1
109,WTB,113,Buy,2015-Q1
109,WOS,163,Buy,2015-Q1
109,WPP,811,Buy,2015-Q1
110,III,593,Buy,2015-Q1
110,ADN,929,Buy,2015-Q1
110,ADM,124,Buy,2015-Q1
110,AAL,903,Buy,2015-Q1
110,ANTO,226,Buy,2015-Q1
110,ARM,881,Buy,2015-Q1
110,AHT,316,Buy,2015-Q1
110,ABF,216,Buy,2015-Q1
110,AZN,788,Buy,2015-Q1
110,AV.,2526,Buy,2015-Q1
110,BAB,318,Buy,2015-Q1
110,BA.,1969,Buy,2015-Q1
110,BARC,10341,Buy,2015-Q1
110,BDEV,621,Buy,2015-Q1
110,BG,22100,Buy,2015-Q1
110,BLT,1274,Buy,2015-Q1
110,BP,11333,Buy,2015-Q1
110,BATS,1189,Buy,2015-Q1
110,BLND,629,Buy,2015-Q1
110,BT.A,5217,Buy,2015-Q1
110,BNZL,210,Buy,2015-Q1
110,BRBY,277,Buy,2015-Q1
110,CPI,413,Buy,2015-Q1
110,CCL,112,Buy,2015-Q1
110,CNA,3096,Buy,2015-Q1
110,CCH,119,Buy,2015-Q1
110,CPG,1037,Buy,2015-Q1
110,CRH,501,Buy,2015-Q1
110,VOD,16957,Buy,2015-Q1
110,WEIR,134,Buy,2015-Q1
110,WTB,113,Buy,2015-Q1
110,WOS,163,Buy,2015-Q1
110,WPP,811,Buy,2015-Q1
